,State,Year,Deaths,Population
0,AK,2003,42.0,701703.4888888886
1,AK,2004,38.0,704538.222222222
2,AK,2005,39.0,707372.9555555554
3,AK,2006,37.0,710207.6888888888
4,AK,2007,47.0,713042.4222222222
5,AK,2008,74.0,715877.1555555556
6,AK,2009,99.0,718711.8888888891
7,AK,2010,43.0,713906.0
8,AK,2011,64.0,722038.0
9,AK,2012,86.0,730399.0
10,AK,2013,66.0,737045.0
11,AK,2014,77.0,736307.0
12,AK,2015,78.0,737547.0
13,AL,2003,73.0,4700035.911111113
14,AL,2004,120.0,4712696.111111112
15,AL,2005,121.0,4725356.311111111
16,AL,2006,175.0,4738016.511111114
17,AL,2007,287.0,4750676.711111113
18,AL,2008,361.0,4763336.911111113
19,AL,2009,409.0,4775997.111111112
20,AL,2010,321.0,4785448.0
21,AL,2011,344.0,4798834.0
22,AL,2012,363.0,4815564.0
23,AL,2013,437.0,4830460.0
24,AL,2014,517.0,4842481.0
25,AL,2015,534.0,4853160.0
26,AR,2003,18.0,2850432.033333335
27,AR,2004,35.0,2861275.666666668
28,AR,2005,61.0,2872119.3000000007
29,AR,2006,72.0,2882962.9333333336
30,AR,2007,81.0,2893806.56666667
31,AR,2008,107.0,2904650.200000003
32,AR,2009,104.0,2915493.8333333363
33,AR,2010,144.0,2921978.0
34,AR,2011,135.0,2940407.0
35,AR,2012,123.0,2952109.0
36,AR,2013,113.0,2959549.0
37,AR,2014,142.0,2967726.0
38,AR,2015,125.0,2978407.0
39,AZ,2003,593.0,5700647.422222228
40,AZ,2004,659.0,5796611.888888896
41,AZ,2005,715.0,5892576.355555564
42,AZ,2006,810.0,5988540.822222233
43,AZ,2007,868.0,6084505.2888889015
44,AZ,2008,745.0,6180469.75555557
45,AZ,2009,922.0,6276434.222222239
46,AZ,2010,1025.0,6407774.0
47,AZ,2011,987.0,6473497.0
48,AZ,2012,1076.0,6556629.0
49,AZ,2013,1171.0,6634999.0
50,AZ,2014,1134.0,6733840.0
51,AZ,2015,1178.0,6833596.0
52,CA,2003,2809.0,35362331.099999905
53,CA,2004,2863.0,35652100.33333325
54,CA,2005,2971.0,35941869.5666666
55,CA,2006,3207.0,36231638.79999995
56,CA,2007,3614.0,36521408.03333318
57,CA,2008,3555.0,36811177.26666653
58,CA,2009,3782.0,37100946.49999988
59,CA,2010,3773.0,37320903.0
60,CA,2011,3948.0,37641823.0
61,CA,2012,3780.0,37960782.0
62,CA,2013,4223.0,38280824.0
63,CA,2014,4292.0,38625139.0
64,CA,2015,4412.0,38953142.0
65,CO,2003,361.0,4458501.055555552
66,CO,2004,370.0,4540960.222222209
67,CO,2005,438.0,4623419.388888896
68,CO,2006,481.0,4705878.555555552
