,County,Deaths,MME,State,Year,County Code,Population
0,ALACHUA,0,82596.6186877293,FL,2006,12001,234444
1,ALACHUA,17,95259.62797679311,FL,2007,12001,237321
2,ALACHUA,0,114675.22192176849,FL,2008,12001,240199
3,ALACHUA,15,141281.0481854313,FL,2009,12001,243076
4,ALACHUA,15,150910.7858758919,FL,2010,12001,247613
5,ALACHUA,14,145750.68089929313,FL,2011,12001,249806
6,ALACHUA,14,127727.613021565,FL,2012,12001,251513
7,BAKER,0,11900.178637500152,FL,2006,12003,26022
8,BAKER,0,13793.788183225111,FL,2007,12003,26201
9,BAKER,0,15651.322154225169,FL,2008,12003,26379
10,BAKER,0,19165.96729500018,FL,2009,12003,26558
11,BAKER,0,29821.45321500012,FL,2010,12003,27062
12,BAKER,0,32777.553120000026,FL,2011,12003,27043
13,BAKER,0,21659.46165000021,FL,2012,12003,27047
14,BAY,0,61998.102472078564,FL,2006,12005,159115
15,BAY,0,61255.85799926616,FL,2007,12005,161413
16,BAY,0,65665.01292126594,FL,2008,12005,163711
17,BAY,0,68131.16719294015,FL,2009,12005,166009
18,BAY,0,73912.3022531658,FL,2010,12005,169205
19,BAY,0,73505.84484769049,FL,2011,12005,169541
20,BAY,0,73272.65335132717,FL,2012,12005,171749
21,BRADFORD,0,13424.830894900231,FL,2006,12007,28341
22,BRADFORD,0,15854.865475125225,FL,2007,12007,28211
23,BRADFORD,0,17501.063683500106,FL,2008,12007,28081
24,BRADFORD,0,21250.949666812667,FL,2009,12007,27951
25,BRADFORD,0,26551.078983862728,FL,2010,12007,28536
26,BRADFORD,0,21271.09919250028,FL,2011,12007,28432
27,BRADFORD,0,16872.471022500224,FL,2012,12007,27049
28,BREVARD,98,201186.1534030964,FL,2006,12009,507319
29,BREVARD,86,246505.6839382635,FL,2007,12009,514316
30,BREVARD,121,317947.5992638272,FL,2008,12009,521312
31,BREVARD,135,365366.2497193953,FL,2009,12009,528308
32,BREVARD,135,508840.976494513,FL,2010,12009,543972
33,BREVARD,123,481720.14990380843,FL,2011,12009,544319
34,BREVARD,113,363107.37734239077,FL,2012,12009,546978
35,BROWARD,249,1222607.3896553786,FL,2006,12011,1662127
36,BROWARD,226,1720337.481720641,FL,2007,12011,1686821
37,BROWARD,313,2180537.4886382525,FL,2008,12011,1711514
38,BROWARD,305,2584508.114014747,FL,2009,12011,1736208
39,BROWARD,262,3026736.844583195,FL,2010,12011,1752834
40,BROWARD,233,1492503.447654777,FL,2011,12011,1786955
41,BROWARD,228,809178.9096921141,FL,2012,12011,1814489
42,CALHOUN,0,1851.9058230000119,FL,2006,12013,14788
43,CALHOUN,0,2021.5322535000096,FL,2007,12013,14756
44,CALHOUN,0,2225.1565500000133,FL,2008,12013,14725
45,CALHOUN,0,2580.2354700000133,FL,2009,12013,14693
46,CALHOUN,0,2722.435965000015,FL,2010,12013,14646
47,CALHOUN,0,2810.6887313625152,FL,2011,12013,14715
48,CALHOUN,0,2793.381480000016,FL,2012,12013,14663
49,CHARLOTTE,0,82123.59715794155,FL,2006,12015,143111
50,CHARLOTTE,0,103366.66686720557,FL,2007,12015,146499
51,CHARLOTTE,0,142308.39840053048,FL,2008,12015,149887
52,CHARLOTTE,0,191565.34862749267,FL,2009,12015,153275
53,CHARLOTTE,0,230654.24658953075,FL,2010,12015,159867
54,CHARLOTTE,1,207165.206288144,FL,2011,12015,159851
55,CHARLOTTE,0,120917.42719837994,FL,2012,12015,162749
56,CITRUS,23,49646.89102934089,FL,2006,12017,134512
57,CITRUS,17,58420.509573116375,FL,2007,12017,135397
58,CITRUS,25,71761.41768466689,FL,2008,12017,136283
59,CITRUS,19,81649.55125245466,FL,2009,12017,137168
60,CITRUS,27,111738.27332779263,FL,2010,12017,141171
61,CITRUS,29,148717.2534045444,FL,2011,12017,139756
62,CITRUS,37,101576.39330385461,FL,2012,12017,139175
63,CLAY,15,69327.28997720485,FL,2006,12019,175496
64,CLAY,26,85815.94069483093,FL,2007,12019,178693
