,Year,Deaths,Population,Deaths_per_Pop,Pred_Deaths_per_Pop
0,2003,1212.0,22089351,5.48680674230764,5.254416100244043
1,2004,1250.0,22533966,5.547181530317388,5.774853697773324
2,2005,1391.0,22978580,6.053463704023486,6.295291295302377
3,2006,1652.0,23423195,7.052838009502974,6.8157288928316575
4,2007,1602.0,23867810,6.711968965732507,7.336166490360938
5,2008,1486.0,24312425,6.112101117021441,7.856604087889991
6,2009,1830.0,24757039,7.391837125594867,8.377041685419272
7,2010,1851.0,25241648,7.33311866166583,8.897479282948552
8,2011,1973.0,25644424,7.693680310386383,9.417916880477605
9,2012,1858.0,26078327,7.124690168966743,9.938354478006886
10,2013,1843.0,26479279,6.960159300409955,10.458792075536167
11,2014,1997.0,26954436,7.408799056303757,10.979229673065447
12,2015,2068.0,27454880,7.532358546094537,11.4996672705945
