,Year,Deaths,Population,Deaths_per_Pop,Pred_Deaths_per_Pop
0,2003,553.0,6001619,9.214180373662506,10.473757695079826
1,2004,662.0,6101391,10.849984864107217,10.734775377605501
2,2005,690.0,6201163,11.126945058531764,10.995793060131177
3,2006,730.0,6300936,11.585580301085425,11.256810742656853
4,2007,814.0,6400708,12.717343143914704,11.517828425182529
5,2008,843.0,6500480,12.96827311213941,11.778846107708205
6,2009,790.0,6600252,11.969239962352953,12.03986379023388
7,2010,736.0,6742902,10.915181623579878,12.300881472759556
8,2011,840.0,6821655,12.313727387268925,12.561899155285232
9,2012,833.0,6892876,12.084941031871168,12.822916837810908
10,2013,811.0,6962906,11.647435711468745,13.083934520336584
11,2014,829.0,7052439,11.754798588119657,13.34495220286226
12,2015,927.0,7163543,12.94052398373263,13.605969885387935
