,County,County Code,Year,Deaths,State
1,BALDWI,1003,2003,10.0,AL
38,JEFFERS,1073,2003,37.0,AL
54,MOBILE,1097,2003,26.0,AL
78,ANCHORAGE BOROUGH,2020,2003,31.0,AK
91,MATANUSKA-SUSITNA BOROUGH,2170,2003,11.0,AK
106,COCHISE,4003,2003,11.0,AZ
109,COCONI,4005,2003,11.0,AZ
116,MARICOPA,4013,2003,273.0,AZ
117,MARICOPA,4013,2003,63.0,AZ
118,MARICOPA,4013,2003,32.0,AZ
122,MOHAVE,4015,2003,11.0,AZ
127,PIMA,4019,2003,145.0,AZ
128,PIMA,4019,2003,14.0,AZ
131,PINAL,4021,2003,18.0,AZ
135,YAVAPAI,4025,2003,15.0,AZ
200,PULASKI,5119,2003,18.0,AR
219,ALAMEDA,6001,2003,96.0,CA
220,ALAMEDA,6001,2003,11.0,CA
226,BUTTE,6007,2003,40.0,CA
231,CONTRA COSTA,6013,2003,53.0,CA
232,CONTRA COSTA,6013,2003,11.0,CA
236,EL DORAD,6017,2003,10.0,CA
239,FRES,6019,2003,66.0,CA
244,HUMBOLD,6023,2003,38.0,CA
250,KER,6029,2003,79.0,CA
251,KER,6029,2003,18.0,CA
260,LOS ANGELES,6037,2003,616.0,CA
261,LOS ANGELES,6037,2003,93.0,CA
262,LOS ANGELES,6037,2003,21.0,CA
266,MADERA,6039,2003,14.0,CA
269,MARI,6041,2003,19.0,CA
273,MENDOCI,6045,2003,15.0,CA
276,MERCED,6047,2003,18.0,CA
281,MONTERE,6053,2003,29.0,CA
284,NAPA,6055,2003,13.0,CA
289,ORANGE,6059,2003,152.0,CA
290,ORANGE,6059,2003,50.0,CA
291,ORANGE,6059,2003,16.0,CA
295,PLACER,6061,2003,28.0,CA
299,RIVERSIDE,6065,2003,128.0,CA
300,RIVERSIDE,6065,2003,22.0,CA
304,SACRAME,6067,2003,111.0,CA
305,SACRAME,6067,2003,37.0,CA
310,SAN BERNARDI,6071,2003,40.0,CA
311,SAN BERNARDI,6071,2003,24.0,CA
315,SAN DIEG,6073,2003,222.0,CA
316,SAN DIEG,6073,2003,65.0,CA
320,SAN FRANCIS,6075,2003,91.0,CA
321,SAN FRANCIS,6075,2003,23.0,CA
325,SAN JOAQUI,6077,2003,45.0,CA
329,SAN LUIS OBISP,6079,2003,10.0,CA
332,SAN MATE,6081,2003,41.0,CA
333,SAN MATE,6081,2003,10.0,CA
336,SANTA BARBARA,6083,2003,32.0,CA
340,SANTA CLARA,6085,2003,55.0,CA
341,SANTA CLARA,6085,2003,23.0,CA
344,SANTA CRUZ,6087,2003,11.0,CA
345,SANTA CRUZ,6087,2003,11.0,CA
349,SHASTA,6089,2003,31.0,CA
354,SOLA,6095,2003,29.0,CA
357,SONOMA,6097,2003,42.0,CA
360,STANISLAUS,6099,2003,67.0,CA
361,STANISLAUS,6099,2003,15.0,CA
367,TULARE,6107,2003,31.0,CA
371,VENTURA,6111,2003,73.0,CA
372,VENTURA,6111,2003,14.0,CA
378,ADAMS,8001,2003,32.0,CO
379,ADAMS,8001,2003,10.0,CO
383,ARAPAHOE,8005,2003,33.0,CO
384,ARAPAHOE,8005,2003,12.0,CO
390,BOULDER,8013,2003,20.0,CO
402,DENVER,8031,2003,97.0,CO
403,DENVER,8031,2003,10.0,CO
410,EL PAS,8041,2003,33.0,CO
411,EL PAS,8041,2003,20.0,CO
420,JEFFERS,8059,2003,23.0,CO
421,JEFFERS,8059,2003,17.0,CO
422,JEFFERS,8059,2003,10.0,CO
429,LARIMER,8069,2003,13.0,CO
430,LARIMER,8069,2003,10.0,CO
448,PUEBL,8101,2003,10.0,CO
460,WELD,8123,2003,11.0,CO
464,FAIRFIELD,9001,2003,53.0,CT
465,FAIRFIELD,9001,2003,11.0,CT
468,HARTFORD,9003,2003,65.0,CT
469,HARTFORD,9003,2003,14.0,CT
473,LITCHFIELD,9005,2003,12.0,CT
477,NEW HAVE,9009,2003,70.0,CT
478,NEW HAVE,9009,2003,10.0,CT
481,NEW LOND,9011,2003,18.0,CT
482,NEW LOND,9011,2003,11.0,CT
486,WINDHAM,9015,2003,14.0,CT
488,KE,10001,2003,10.0,DE
490,NEW CASTLE,10003,2003,41.0,DE
491,NEW CASTLE,10003,2003,13.0,DE
496,DISTRICT OF COLUMBIA,11001,2003,90.0,DC
500,ALACHUA,12001,2003,11.0,FL
504,BA,12005,2003,21.0,FL
508,BREVARD,12009,2003,83.0,FL
509,BREVARD,12009,2003,14.0,FL
512,BROWARD,12011,2003,170.0,FL
513,BROWARD,12011,2003,60.0,FL
519,CITRUS,12017,2003,16.0,FL
522,CLA,12019,2003,16.0,FL
524,COLLIER,12021,2003,29.0,FL
530,DUVAL,12031,2003,107.0,FL
531,DUVAL,12031,2003,20.0,FL
534,ESCAMBIA,12033,2003,27.0,FL
546,HERNAND,12053,2003,15.0,FL
548,HIGHLANDS,12055,2003,10.0,FL
551,HILLSBOROUGH,12057,2003,114.0,FL
552,HILLSBOROUGH,12057,2003,12.0,FL
557,INDIAN RIVER,12061,2003,10.0,FL
562,LAKE,12069,2003,17.0,FL
565,LEE,12071,2003,61.0,FL
